sku	price	quantity	handling-time	merchant_shipping_group_name
SHEST413	25.864658823529417	95	4	3-5 15$
SHEST414	25.83162352941177	95	4	3-5 15$
SHEST415	27.499905882352948	95	4	3-5 15$
SHEST416	25.18743529411765	95	4	3-5 15$
SHEST417	25.616894117647064	95	4	3-5 15$
SHEST418	25.319576470588245	95	4	2-4 15$
SHEST419	25.451717647058828	3	4	3-5 15$
SHEST420	25.418682352941183	95	4	3-5 15$
SHEST421	29.39943529411765	4	4	3-5 15$
SHEST422	25.7820705882353	95	4	3-5 15$
SHEST423	25.203952941176475	95	4	3-5 15$
SHEST424	24.82404705882354	95	4	3-5 15$
SHEST425	29.33336470588236	95	4	2-4 15$
SHEST426	27.499905882352948	95	4	2-4 15$
SHEST427	25.23698823529412	95	4	3-5 15$
SHEST428	25.03877647058824	95	4	3-5 15$
SHEST429	24.873600000000003	4	4	3-5 15$
SHEST430	27.61552941176472	95	4	2-4 15$
SHEST431	24.77449411764706	1	4	3-5 15$
SHEST432	24.345035294117658	95	4	3-5 15$
SHEST433	29.448988235294124	95	4	3-5 15$
SHEST434	25.96376470588236	95	4	3-5 15$
SHEST435	24.724941176470594	1	4	2-4 15$
SHEST436	24.41110588235295	95	4	3-5 15$
SHEST437	24.62583529411765	95	4	3-5 15$
SHEST438	29.96103529411765	95	4	3-5 15$
SHEST439	0	0	4	3-5
SHEST440	24.312000000000012	95	4	3-5 15$
SHEST441	24.328517647058824	95	4	3-5 15$
SHEST442	24.328517647058824	95	4	2-4 15$
SHEST443	24.312000000000012	95	4	3-5 15$
SHEST444	28.391858823529418	95	4	2-4 15$
SHEST445	24.245929411764713	95	4	3-5 15$
SHEST446	0	0	4	3-5
SHEST447	24.163341176470595	95	4	3-5 15$
SHEST448	24.13030588235295	95	4	3-5 15$
SHEST449	23.84950588235295	95	4	3-5 15$
SHEST450	23.98164705882354	95	4	3-5 15$
SHEST451	23.93209411764706	95	4	2-4 15$
SHEST452	25.35261176470589	95	4	2-4 15$
SHEST453	23.766917647058825	95	4	3-5 15$
SHEST454	23.766917647058825	95	4	3-5 15$
SHEST455	23.71736470588236	95	4	3-5 15$
SHEST456	23.651294117647062	95	4	3-5 15$
SHEST457	23.651294117647062	95	4	3-5 15$
SHEST458	23.651294117647062	95	4	3-5 15$
SHEST459	23.634776470588243	95	4	2-4 15$
SHEST460	23.634776470588243	2	4	3-5 15$
SHEST461	28.804800000000007	95	4	3-5 15$
SHEST462	23.700847058823534	95	4	3-5 15$
SHEST463	23.783435294117652	95	4	3-5 15$
SHEST464	0	0	4	3-5
SHEST465	26.26108235294118	95	4	3-5 15$
SHEST466	24.82404705882354	95	4	3-5 15$
SHEST467	23.601741176470597	95	4	3-5 15$
SHEST468	22.792376470588238	2	4	2-4 15$
SHEST469	26.19501176470589	95	4	3-5 15$
SHEST470	23.139247058823535	95	4	3-5 15$
SHEST471	0	0	4	3-5
SHEST472	21.669176470588233	3	4	3-5 15$
SHEST473	23.089694117647063	95	4	3-5 15$
SHEST474	23.0401411764706	1	4	3-5 15$
SHEST475	22.9740705882353	95	4	3-5 15$
SHEST476	22.9740705882353	95	4	3-5 15$
SHEST477	27.995435294117655	95	4	3-5 15$
SHEST478	24.080752941176478	95	4	3-5 15$
SHEST479	22.660235294117655	95	4	2-4 15$
SHEST480	22.825411764705883	95	4	3-5 15$
SHEST481	22.445505882352947	95	4	3-5 15$
SHEST482	22.412470588235294	95	4	3-5 15$
SHEST483	23.56870588235295	95	4	3-5 15$
SHEST484	0	0	4	3-5
SHEST485	22.14818823529412	3	4	3-5 15$
SHEST486	18.646447058823533	95	4	3-5 15$
SHEST487	24.328517647058824	95	4	3-5 15$
SHEST488	27.21910588235295	95	4	2-4 15$
SHEST489	17.09378823529412	95	4	2-4 15$
SHEST491	23.98164705882354	95	4	3-5 15$
SHEST492	20.00089411764707	95	4	3-5 15$
SHEST493	21.65265882352942	4	4	3-5 15$
SHEST494	21.619623529411776	95	4	3-5 15$
SHEST495	21.570070588235296	95	4	3-5 15$
SHEST496	22.62720000000001	95	4	3-5 15$
SHEST497	0	0	4	3-5
SHEST498	21.289270588235297	2	4	3-5 15$
SHEST499	21.157129411764714	2	4	3-5 15$
SHEST500	21.12409411764706	4	4	3-5 15$
SHEST501	25.517788235294127	2	4	3-5 15$
SHEST502	20.975435294117652	95	4	3-5 15$
SHEST503	21.966494117647066	95	4	3-5 15$
